"Other", "Other"
"Use the Suggested Icon", "Use the Suggested Icon"
"Use the Custom Icon", "Use the Custom Icon"
"Yes", "Yes"
"No", "No"
"Enabled", "Enabled"
"Title", "Title"
"Reference number", "Reference number"
"Icon path", "Icon path"
"Cash", "Cash"
"Bank Transfer", "Bank Transfer"
"Check", "Check"
"COD", "COD"
"Credit Card", "Credit Card"
"Mobile Payment", "Mobile Payment"
"Use the Custom Icon", "Use the Custom Icon"
"Recommended size: 76x46 px", "Recommended size: 76x46 px"
"Supported file: jpeg, png, svg", "Supported file: jpeg, png, svg"
"Pay Later", "Pay Later"
"If enabled, the system will not create invoice after the checkout. You wont be able to use this method to refund or take due amount.", "If enabled, the system will not create invoice after the checkout. You wont be able to use this method to refund or take due amount."
"Sort Order", "Sort Order"
"Cancel", "Cancel"
"Add more payment", "Add more payment"